	T96s4_A1	T96s4_A2	T96s4_A3	T96s4_A4	T96s4_A5	T96s4_A6	T96s4_A7	T96s4_A8	T96s4_A9	T96s4_A10	T96s4_A11	T96s4_A12	T96s4_B1	T96s4_B2	T96s4_B3	T96s4_B4	T96s4_B5	T96s4_B6	T96s4_B7	T96s4_B8	T96s4_B9	T96s4_B10	T96s4_B11	T96s4_B12	T96s4_C1	T96s4_C2	T96s4_C3	T96s4_C4	T96s4_C5	T96s4_C6	T96s4_C7	T96s4_C8	T96s4_C9	T96s4_C10	T96s4_C11	T96s4_C12	T96s4_D1	T96s4_D2	T96s4_D3	T96s4_D4	T96s4_D5	T96s4_D6	T96s4_D7	T96s4_D8	T96s4_D9	T96s4_D10	T96s4_D11	T96s4_D12	T96s4_E1	T96s4_E2	T96s4_E3	T96s4_E4	T96s4_E5	T96s4_E6	T96s4_E7	T96s4_E8	T96s4_E9	T96s4_E10	T96s4_E11	T96s4_E12	T96s4_F1	T96s4_F2	T96s4_F3	T96s4_F4	T96s4_F5	T96s4_F6	T96s4_F7	T96s4_F8	T96s4_F9	T96s4_F10	T96s4_F11	T96s4_F12	T96s4_G1	T96s4_G2	T96s4_G3	T96s4_G4	T96s4_G5	T96s4_G6	T96s4_G7	T96s4_G8	T96s4_G9	T96s4_G10	T96s4_G11	T96s4_G12	T96s4_H1	T96s4_H2	T96s4_H3	T96s4_H4	T96s4_H5	T96s4_H6	T96s4_H7	T96s4_H8	T96s4_H9	T96s4_H10	T96s4_H11	T96s4_H12
Refseq_Total	2966979	3476454	3925297	2895028	1306989	4932327	3710600	4660981	3709785	4047062	3395072	2812514	3838429	4007653	3180618	4568690	3743018	4154884	3559325	3946540	23279240	4569883	4725569	3753085	2054889	605115	466722	515626	1025279	3460018	3716455	1795277	4279614	3778633	6198271	3970717	4215492	6544356	4427024	4788922	4428786	3525867	1447343	3964192	5983628	2569680	4963730	4548832	2969059	3525296	3753475	3563918	3743911	3299752	3296497	4483072	7059442	3856522	6745784	2699339	3635552	3222292	4089660	4255981	3604732	2470275	2552137	2441352	3324347	3753296	4901989	3159116	3415716	4092085	3566368	3628045	3310390	4027026	3872263	3954667	516581	4207211	3289736	4142333	2836587	3286500	2902905	3517772	2466966	4728046	3989341	5318068	4507324	3427124	4156596	2376493
Refseq_UMI	1011845	1192607	1348859	994599	461731	1718693	1267533	1666526	1368271	1477988	1227057	1067088	1401500	1471282	1144286	1655304	1325743	1358051	1255718	1346799	8875137	1580581	1629420	1359444	691007	251284	206858	227309	421205	1259199	1303147	620569	1474161	1368191	2187142	1444450	1503014	2249241	1550130	1658004	1517485	1205298	494175	1656291	2068984	928334	1757993	1593912	1072312	1288557	1283983	1261673	1377469	1206236	1246770	1664627	2701458	1538420	2530492	996340	1417762	1207973	1505601	1567357	1328382	877639	915398	886380	1213199	1379987	1772919	1233156	1364900	1546190	1342096	1396883	1280260	1463803	1470907	1441706	193037	1574182	1208249	1535667	1033843	1194300	1048921	1298292	945170	1820991	1497103	1932191	1652572	1223008	1523788	892438
Spike_Total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spike_UMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
